Nivel,Nodo,Altura_media_mm,Area_mm2,X_mm,Y_mm,Z_mm
4,5,,,0.652256,0.218654,0.075000
4,5,,,0.609637,0.220507,0.071000
4,5,,,0.611490,0.220507,0.073000
4,5,,,0.613343,0.220507,0.076000
4,5,,,0.615196,0.220507,0.079000
4,5,,,0.617049,0.220507,0.082000
4,5,,,0.618902,0.220507,0.083000
4,5,,,0.620755,0.220507,0.084000
4,5,,,0.622608,0.220507,0.085000
4,5,,,0.624461,0.220507,0.086000
4,5,,,0.626314,0.220507,0.086000
4,5,,,0.628167,0.220507,0.086000
4,5,,,0.630020,0.220507,0.085000
4,5,,,0.631873,0.220507,0.084000
4,5,,,0.633726,0.220507,0.082000
4,5,,,0.635579,0.220507,0.081000
4,5,,,0.637432,0.220507,0.080000
4,5,,,0.639285,0.220507,0.082000
4,5,,,0.641138,0.220507,0.085000
4,5,,,0.642991,0.220507,0.091000
4,5,,,0.644844,0.220507,0.095000
4,5,,,0.646697,0.220507,0.097000
4,5,,,0.648550,0.220507,0.098000
4,5,,,0.650403,0.220507,0.095000
4,5,,,0.652256,0.220507,0.089000
4,5,,,0.654109,0.220507,0.081000
4,5,,,0.655962,0.220507,0.071000
4,5,,,0.598519,0.222360,0.070000
4,5,,,0.600372,0.222360,0.071000
4,5,,,0.602225,0.222360,0.070000
4,5,,,0.605931,0.222360,0.070000
4,5,,,0.607784,0.222360,0.073000
4,5,,,0.609637,0.222360,0.076000
4,5,,,0.611490,0.222360,0.079000
4,5,,,0.613343,0.222360,0.082000
4,5,,,0.615196,0.222360,0.085000
4,5,,,0.617049,0.222360,0.086000
4,5,,,0.618902,0.222360,0.085000
4,5,,,0.620755,0.222360,0.085000
4,5,,,0.622608,0.222360,0.085000
4,5,,,0.624461,0.222360,0.086000
4,5,,,0.626314,0.222360,0.087000
4,5,,,0.628167,0.222360,0.087000
4,5,,,0.630020,0.222360,0.086000
4,5,,,0.631873,0.222360,0.085000
4,5,,,0.633726,0.222360,0.084000
4,5,,,0.635579,0.222360,0.082000
4,5,,,0.637432,0.222360,0.082000
4,5,,,0.639285,0.222360,0.083000
4,5,,,0.641138,0.222360,0.087000
4,5,,,0.642991,0.222360,0.094000
4,5,,,0.644844,0.222360,0.099000
4,5,,,0.646697,0.222360,0.103000
4,5,,,0.648550,0.222360,0.104000
4,5,,,0.650403,0.222360,0.102000
4,5,,,0.652256,0.222360,0.096000
4,5,,,0.654109,0.222360,0.087000
4,5,,,0.655962,0.222360,0.077000
4,5,,,0.594813,0.224213,0.070000
4,5,,,0.596666,0.224213,0.071000
4,5,,,0.598519,0.224213,0.072000
4,5,,,0.600372,0.224213,0.071000
4,5,,,0.602225,0.224213,0.071000
4,5,,,0.604078,0.224213,0.070000
4,5,,,0.605931,0.224213,0.072000
4,5,,,0.607784,0.224213,0.076000
4,5,,,0.609637,0.224213,0.082000
4,5,,,0.611490,0.224213,0.085000
4,5,,,0.613343,0.224213,0.088000
4,5,,,0.615196,0.224213,0.090000
4,5,,,0.617049,0.224213,0.090000
4,5,,,0.618902,0.224213,0.087000
4,5,,,0.620755,0.224213,0.085000
4,5,,,0.622608,0.224213,0.084000
4,5,,,0.624461,0.224213,0.086000
4,5,,,0.626314,0.224213,0.087000
4,5,,,0.628167,0.224213,0.087000
4,5,,,0.630020,0.224213,0.087000
4,5,,,0.631873,0.224213,0.085000
4,5,,,0.633726,0.224213,0.084000
4,5,,,0.635579,0.224213,0.082000
4,5,,,0.637432,0.224213,0.082000
4,5,,,0.639285,0.224213,0.082000
4,5,,,0.641138,0.224213,0.086000
4,5,,,0.642991,0.224213,0.093000
4,5,,,0.644844,0.224213,0.098000
4,5,,,0.646697,0.224213,0.102000
4,5,,,0.648550,0.224213,0.104000
4,5,,,0.650403,0.224213,0.102000
4,5,,,0.652256,0.224213,0.096000
4,5,,,0.654109,0.224213,0.087000
4,5,,,0.655962,0.224213,0.077000
4,5,,,0.594813,0.226066,0.071000
4,5,,,0.596666,0.226066,0.072000
4,5,,,0.598519,0.226066,0.072000
4,5,,,0.600372,0.226066,0.072000
4,5,,,0.602225,0.226066,0.071000
4,5,,,0.604078,0.226066,0.070000
4,5,,,0.605931,0.226066,0.073000
4,5,,,0.607784,0.226066,0.078000
4,5,,,0.609637,0.226066,0.083000
4,5,,,0.611490,0.226066,0.087000
4,5,,,0.613343,0.226066,0.089000
4,5,,,0.615196,0.226066,0.091000
4,5,,,0.617049,0.226066,0.091000
4,5,,,0.618902,0.226066,0.088000
4,5,,,0.620755,0.226066,0.086000
4,5,,,0.622608,0.226066,0.085000
4,5,,,0.624461,0.226066,0.087000
4,5,,,0.626314,0.226066,0.088000
4,5,,,0.628167,0.226066,0.087000
4,5,,,0.630020,0.226066,0.086000
4,5,,,0.631873,0.226066,0.085000
4,5,,,0.633726,0.226066,0.083000
4,5,,,0.635579,0.226066,0.081000
4,5,,,0.637432,0.226066,0.080000
4,5,,,0.639285,0.226066,0.080000
4,5,,,0.641138,0.226066,0.084000
4,5,,,0.642991,0.226066,0.090000
4,5,,,0.644844,0.226066,0.095000
4,5,,,0.646697,0.226066,0.099000
4,5,,,0.648550,0.226066,0.101000
4,5,,,0.650403,0.226066,0.099000
4,5,,,0.652256,0.226066,0.093000
4,5,,,0.654109,0.226066,0.085000
4,5,,,0.655962,0.226066,0.074000
4,5,,,0.592960,0.227919,0.070000
4,5,,,0.594813,0.227919,0.072000
4,5,,,0.596666,0.227919,0.073000
4,5,,,0.598519,0.227919,0.073000
4,5,,,0.600372,0.227919,0.072000
4,5,,,0.602225,0.227919,0.072000
4,5,,,0.604078,0.227919,0.072000
4,5,,,0.605931,0.227919,0.074000
4,5,,,0.607784,0.227919,0.077000
4,5,,,0.609637,0.227919,0.081000
4,5,,,0.611490,0.227919,0.084000
4,5,,,0.613343,0.227919,0.086000
4,5,,,0.615196,0.227919,0.087000
4,5,,,0.617049,0.227919,0.088000
4,5,,,0.618902,0.227919,0.087000
4,5,,,0.620755,0.227919,0.086000
4,5,,,0.622608,0.227919,0.086000
4,5,,,0.624461,0.227919,0.087000
4,5,,,0.626314,0.227919,0.088000
4,5,,,0.628167,0.227919,0.087000
4,5,,,0.630020,0.227919,0.086000
4,5,,,0.631873,0.227919,0.084000
4,5,,,0.633726,0.227919,0.082000
4,5,,,0.635579,0.227919,0.080000
4,5,,,0.637432,0.227919,0.078000
4,5,,,0.639285,0.227919,0.078000
4,5,,,0.641138,0.227919,0.081000
4,5,,,0.642991,0.227919,0.086000
4,5,,,0.644844,0.227919,0.090000
4,5,,,0.646697,0.227919,0.093000
4,5,,,0.648550,0.227919,0.094000
4,5,,,0.650403,0.227919,0.092000
4,5,,,0.652256,0.227919,0.087000
4,5,,,0.654109,0.227919,0.079000
4,5,,,0.591107,0.229772,0.071000
4,5,,,0.592960,0.229772,0.072000
4,5,,,0.594813,0.229772,0.073000
4,5,,,0.596666,0.229772,0.074000
4,5,,,0.598519,0.229772,0.074000
4,5,,,0.600372,0.229772,0.074000
4,5,,,0.602225,0.229772,0.073000
4,5,,,0.604078,0.229772,0.073000
4,5,,,0.605931,0.229772,0.074000
4,5,,,0.607784,0.229772,0.076000
4,5,,,0.609637,0.229772,0.078000
4,5,,,0.611490,0.229772,0.081000
4,5,,,0.613343,0.229772,0.082000
4,5,,,0.615196,0.229772,0.083000
4,5,,,0.617049,0.229772,0.084000
4,5,,,0.618902,0.229772,0.085000
4,5,,,0.620755,0.229772,0.085000
4,5,,,0.622608,0.229772,0.086000
4,5,,,0.624461,0.229772,0.087000
4,5,,,0.626314,0.229772,0.088000
4,5,,,0.628167,0.229772,0.087000
4,5,,,0.630020,0.229772,0.085000
4,5,,,0.631873,0.229772,0.083000
4,5,,,0.633726,0.229772,0.081000
4,5,,,0.635579,0.229772,0.078000
4,5,,,0.637432,0.229772,0.077000
4,5,,,0.639285,0.229772,0.077000
4,5,,,0.641138,0.229772,0.080000
4,5,,,0.642991,0.229772,0.085000
4,5,,,0.644844,0.229772,0.089000
4,5,,,0.646697,0.229772,0.091000
4,5,,,0.648550,0.229772,0.092000
4,5,,,0.650403,0.229772,0.088000
4,5,,,0.652256,0.229772,0.082000
4,5,,,0.654109,0.229772,0.074000
4,5,,,0.589254,0.231625,0.070000
4,5,,,0.591107,0.231625,0.071000
4,5,,,0.592960,0.231625,0.072000
4,5,,,0.594813,0.231625,0.074000
4,5,,,0.596666,0.231625,0.075000
4,5,,,0.598519,0.231625,0.075000
4,5,,,0.600372,0.231625,0.075000
4,5,,,0.602225,0.231625,0.075000
4,5,,,0.604078,0.231625,0.075000
4,5,,,0.605931,0.231625,0.075000
4,5,,,0.607784,0.231625,0.075000
4,5,,,0.609637,0.231625,0.076000
4,5,,,0.611490,0.231625,0.077000
4,5,,,0.613343,0.231625,0.078000
4,5,,,0.615196,0.231625,0.079000
4,5,,,0.617049,0.231625,0.081000
4,5,,,0.618902,0.231625,0.083000
4,5,,,0.620755,0.231625,0.084000
4,5,,,0.622608,0.231625,0.086000
4,5,,,0.624461,0.231625,0.087000
4,5,,,0.626314,0.231625,0.087000
4,5,,,0.628167,0.231625,0.086000
4,5,,,0.630020,0.231625,0.085000
4,5,,,0.631873,0.231625,0.082000
4,5,,,0.633726,0.231625,0.080000
4,5,,,0.635579,0.231625,0.077000
4,5,,,0.637432,0.231625,0.075000
4,5,,,0.639285,0.231625,0.077000
4,5,,,0.641138,0.231625,0.080000
4,5,,,0.642991,0.231625,0.085000
4,5,,,0.644844,0.231625,0.088000
4,5,,,0.646697,0.231625,0.090000
4,5,,,0.648550,0.231625,0.090000
4,5,,,0.650403,0.231625,0.085000
4,5,,,0.652256,0.231625,0.077000
4,5,,,0.589254,0.233478,0.070000
4,5,,,0.591107,0.233478,0.071000
4,5,,,0.592960,0.233478,0.072000
4,5,,,0.594813,0.233478,0.073000
4,5,,,0.596666,0.233478,0.074000
4,5,,,0.598519,0.233478,0.075000
4,5,,,0.600372,0.233478,0.075000
4,5,,,0.602225,0.233478,0.075000
4,5,,,0.604078,0.233478,0.075000
4,5,,,0.605931,0.233478,0.075000
4,5,,,0.607784,0.233478,0.075000
4,5,,,0.609637,0.233478,0.075000
4,5,,,0.611490,0.233478,0.076000
4,5,,,0.613343,0.233478,0.077000
4,5,,,0.615196,0.233478,0.079000
4,5,,,0.617049,0.233478,0.080000
4,5,,,0.618902,0.233478,0.082000
4,5,,,0.620755,0.233478,0.084000
4,5,,,0.622608,0.233478,0.086000
4,5,,,0.624461,0.233478,0.087000
4,5,,,0.626314,0.233478,0.087000
4,5,,,0.628167,0.233478,0.086000
4,5,,,0.630020,0.233478,0.084000
4,5,,,0.631873,0.233478,0.081000
4,5,,,0.633726,0.233478,0.079000
4,5,,,0.635579,0.233478,0.076000
4,5,,,0.637432,0.233478,0.074000
4,5,,,0.639285,0.233478,0.075000
4,5,,,0.641138,0.233478,0.078000
4,5,,,0.642991,0.233478,0.082000
4,5,,,0.644844,0.233478,0.084000
4,5,,,0.646697,0.233478,0.084000
4,5,,,0.648550,0.233478,0.081000
4,5,,,0.650403,0.233478,0.076000
4,5,,,0.592960,0.235331,0.070000
4,5,,,0.594813,0.235331,0.072000
4,5,,,0.596666,0.235331,0.074000
4,5,,,0.598519,0.235331,0.075000
4,5,,,0.600372,0.235331,0.075000
4,5,,,0.602225,0.235331,0.075000
4,5,,,0.604078,0.235331,0.075000
4,5,,,0.605931,0.235331,0.075000
4,5,,,0.607784,0.235331,0.074000
4,5,,,0.609637,0.235331,0.074000
4,5,,,0.611490,0.235331,0.075000
4,5,,,0.613343,0.235331,0.076000
4,5,,,0.615196,0.235331,0.078000
4,5,,,0.617049,0.235331,0.079000
4,5,,,0.618902,0.235331,0.082000
4,5,,,0.620755,0.235331,0.084000
4,5,,,0.622608,0.235331,0.086000
4,5,,,0.624461,0.235331,0.087000
4,5,,,0.626314,0.235331,0.086000
4,5,,,0.628167,0.235331,0.085000
4,5,,,0.630020,0.235331,0.083000
4,5,,,0.631873,0.235331,0.080000
4,5,,,0.633726,0.235331,0.077000
4,5,,,0.635579,0.235331,0.074000
4,5,,,0.637432,0.235331,0.072000
4,5,,,0.639285,0.235331,0.072000
4,5,,,0.641138,0.235331,0.073000
4,5,,,0.642991,0.235331,0.075000
4,5,,,0.644844,0.235331,0.077000
4,5,,,0.646697,0.235331,0.076000
4,5,,,0.648550,0.235331,0.073000
4,5,,,0.594813,0.237184,0.071000
4,5,,,0.596666,0.237184,0.072000
4,5,,,0.598519,0.237184,0.074000
4,5,,,0.600372,0.237184,0.075000
4,5,,,0.602225,0.237184,0.075000
4,5,,,0.604078,0.237184,0.074000
4,5,,,0.605931,0.237184,0.074000
4,5,,,0.607784,0.237184,0.073000
4,5,,,0.609637,0.237184,0.073000
4,5,,,0.611490,0.237184,0.074000
4,5,,,0.613343,0.237184,0.075000
4,5,,,0.615196,0.237184,0.077000
4,5,,,0.617049,0.237184,0.079000
4,5,,,0.618902,0.237184,0.082000
4,5,,,0.620755,0.237184,0.084000
4,5,,,0.622608,0.237184,0.086000
4,5,,,0.624461,0.237184,0.087000
4,5,,,0.626314,0.237184,0.086000
4,5,,,0.628167,0.237184,0.085000
4,5,,,0.630020,0.237184,0.082000
4,5,,,0.631873,0.237184,0.079000
4,5,,,0.633726,0.237184,0.076000
4,5,,,0.635579,0.237184,0.072000
4,5,,,0.637432,0.237184,0.070000
4,5,,,0.639285,0.237184,0.069000
4,5,,,0.641138,0.237184,0.068000
4,5,,,0.642991,0.237184,0.070000
4,5,,,0.644844,0.237184,0.071000
4,5,,,0.646697,0.237184,0.071000
4,5,,,0.594813,0.239037,0.070000
4,5,,,0.596666,0.239037,0.072000
4,5,,,0.598519,0.239037,0.073000
4,5,,,0.600372,0.239037,0.074000
4,5,,,0.602225,0.239037,0.074000
4,5,,,0.604078,0.239037,0.074000
4,5,,,0.605931,0.239037,0.073000
4,5,,,0.607784,0.239037,0.073000
4,5,,,0.609637,0.239037,0.073000
4,5,,,0.611490,0.239037,0.074000
4,5,,,0.613343,0.239037,0.075000
4,5,,,0.615196,0.239037,0.077000
4,5,,,0.617049,0.239037,0.079000
4,5,,,0.618902,0.239037,0.082000
4,5,,,0.620755,0.239037,0.084000
4,5,,,0.622608,0.239037,0.086000
4,5,,,0.624461,0.239037,0.087000
4,5,,,0.626314,0.239037,0.086000
4,5,,,0.628167,0.239037,0.085000
4,5,,,0.630020,0.239037,0.082000
4,5,,,0.631873,0.239037,0.078000
4,5,,,0.633726,0.239037,0.075000
4,5,,,0.635579,0.239037,0.071000
4,5,,,0.637432,0.239037,0.069000
4,5,,,0.639285,0.239037,0.067000
4,5,,,0.641138,0.239037,0.068000
4,5,,,0.642991,0.239037,0.070000
4,5,,,0.644844,0.239037,0.073000
4,5,,,0.646697,0.239037,0.074000
4,5,,,0.648550,0.239037,0.073000
4,5,,,0.594813,0.240890,0.071000
4,5,,,0.596666,0.240890,0.072000
4,5,,,0.598519,0.240890,0.073000
4,5,,,0.600372,0.240890,0.074000
4,5,,,0.602225,0.240890,0.074000
4,5,,,0.604078,0.240890,0.073000
4,5,,,0.605931,0.240890,0.073000
4,5,,,0.607784,0.240890,0.072000
4,5,,,0.609637,0.240890,0.073000
4,5,,,0.611490,0.240890,0.074000
4,5,,,0.613343,0.240890,0.075000
4,5,,,0.615196,0.240890,0.077000
4,5,,,0.617049,0.240890,0.079000
4,5,,,0.618902,0.240890,0.082000
4,5,,,0.620755,0.240890,0.084000
4,5,,,0.622608,0.240890,0.086000
4,5,,,0.624461,0.240890,0.087000
4,5,,,0.626314,0.240890,0.086000
4,5,,,0.628167,0.240890,0.084000
4,5,,,0.630020,0.240890,0.081000
4,5,,,0.631873,0.240890,0.078000
4,5,,,0.633726,0.240890,0.074000
4,5,,,0.635579,0.240890,0.071000
4,5,,,0.637432,0.240890,0.068000
4,5,,,0.639285,0.240890,0.068000
4,5,,,0.641138,0.240890,0.069000
4,5,,,0.642991,0.240890,0.073000
4,5,,,0.644844,0.240890,0.076000
4,5,,,0.646697,0.240890,0.078000
4,5,,,0.648550,0.240890,0.077000
4,5,,,0.650403,0.240890,0.073000
4,5,,,0.592960,0.242743,0.070000
4,5,,,0.594813,0.242743,0.072000
4,5,,,0.596666,0.242743,0.073000
4,5,,,0.598519,0.242743,0.074000
4,5,,,0.600372,0.242743,0.074000
4,5,,,0.602225,0.242743,0.074000
4,5,,,0.604078,0.242743,0.073000
4,5,,,0.605931,0.242743,0.073000
4,5,,,0.607784,0.242743,0.073000
4,5,,,0.609637,0.242743,0.073000
4,5,,,0.611490,0.242743,0.074000
4,5,,,0.613343,0.242743,0.075000
4,5,,,0.615196,0.242743,0.077000
4,5,,,0.617049,0.242743,0.079000
4,5,,,0.618902,0.242743,0.082000
4,5,,,0.620755,0.242743,0.084000
4,5,,,0.622608,0.242743,0.086000
4,5,,,0.624461,0.242743,0.086000
4,5,,,0.626314,0.242743,0.085000
4,5,,,0.628167,0.242743,0.083000
4,5,,,0.630020,0.242743,0.081000
4,5,,,0.631873,0.242743,0.079000
4,5,,,0.633726,0.242743,0.076000
4,5,,,0.635579,0.242743,0.074000
4,5,,,0.637432,0.242743,0.073000
4,5,,,0.639285,0.242743,0.073000
4,5,,,0.641138,0.242743,0.076000
4,5,,,0.642991,0.242743,0.078000
